Rank,Country,2019_Rank,2019_Score,2019_country_code,2019_income_group,2019_total_gdp_million,2020_Rank,2020_Score,2020_country_code,2020_income_group,2020_total_gdp_million,2021_Rank,2021_Score,2021_country_code,2021_income_group,2021_total_gdp_million,2022_Rank,2022_Score,2022_country_code,2022_income_group,2022_total_gdp_million,2023_Rank,2023_Score,2023_country_code,2023_income_group,2023_total_gdp_million,2024_Rank,2024_Score,2019_porcentaje
162,Tonga,45.0,74.59,TON,Ingreso Mediano Alto,494.197841113077,50.0,72.73,TON,Ingreso Mediano Alto,496.85629576752,46.0,75.41,TON,Ingreso Mediano Alto,518.22801209129,49.0,69.74,TON,Ingreso Mediano Alto,518.180042241509,44.0,71.29,TON,Ingreso Mediano Alto,0.0,45.0,70.11,0.0
163,Trinidad and Tobago,39.0,75.26,,,,36.0,76.78,,,,31.0,78.45,,,,25.0,78.68,,,,30.0,76.54,,,,25.0,76.69,
164,Tunisia,72.0,70.39,TUN,Países De Ingreso Mediano Bajo,41905.642418825,72.0,70.55,TUN,Países De Ingreso Mediano Bajo,42491.780918361,73.0,70.47,TUN,Países De Ingreso Mediano Bajo,46812.290143344,94.0,58.49,TUN,Países De Ingreso Mediano Bajo,44579.7610228993,121.0,50.11,TUN,Países De Ingreso Mediano Bajo,48529.5954166533,118.0,49.97,0.29
165,Turkey,157.0,47.19,TUR,Ingreso Mediano Alto,761005.9157509251,154.0,49.98,TUR,Ingreso Mediano Alto,720338.490327248,153.0,50.21,TUR,Ingreso Mediano Alto,819865.223976115,149.0,41.25,TUR,Ingreso Mediano Alto,907118.434653505,165.0,33.97,TUR,Ingreso Mediano Alto,1118252.96426077,158.0,31.6,5.33
166,Turkmenistan,180.0,14.56,TKM,Ingreso Mediano Alto,45232.8571428571,179.0,14.56,TKM,Ingreso Mediano Alto,45818.0,178.0,19.97,TKM,Ingreso Mediano Alto,50007.428571428594,177.0,25.01,TKM,Ingreso Mediano Alto,58972.0,176.0,25.82,TKM,Ingreso Mediano Alto,60628.8571428571,175.0,22.01,0.32
167,Uganda,125.0,60.58,UGA,Países De Ingreso Bajo,35348.1550954215,125.0,59.05,UGA,Países De Ingreso Bajo,37600.3682416657,125.0,58.81,UGA,Países De Ingreso Bajo,40529.7887486737,132.0,46.35,UGA,Países De Ingreso Bajo,45565.3332109108,133.0,46.08,UGA,Países De Ingreso Bajo,48768.9558633175,128.0,46.0,0.25
168,Ukraine,102.0,67.54,UKR,Ingreso Mediano Alto,153883.047509577,96.0,67.48,UKR,Ingreso Mediano Alto,156617.72201334202,97.0,67.04,UKR,Ingreso Mediano Alto,199765.859570935,106.0,55.76,UKR,Ingreso Mediano Alto,161989.52072119,79.0,61.19,UKR,Ingreso Mediano Alto,178757.021965008,61.0,65.0,1.08
169,United Arab Emirates,133.0,56.37,ARE,Ingreso Alto,417989.721734494,131.0,57.31,ARE,Ingreso Alto,349473.015336939,131.0,56.87,ARE,Ingreso Alto,415178.792769884,138.0,44.46,ARE,Ingreso Alto,502731.935197487,145.0,42.99,ARE,Ingreso Alto,514130.432653081,160.0,30.62,2.93
170,United Kingdom,33.0,77.77,,,,35.0,77.07,,,,33.0,78.41,,,,24.0,78.71,,,,26.0,78.51,,,,23.0,77.51,
171,United States,48.0,74.31,,,,45.0,76.15,,,,44.0,76.07,,,,42.0,72.74,,,,45.0,71.22,,,,55.0,66.59,
172,Uruguay,19.0,83.94,URY,Ingreso Alto,62222.3258070578,19.0,84.21,URY,Ingreso Alto,53668.6365678667,18.0,83.62,URY,Ingreso Alto,60760.7985955436,44.0,72.03,URY,Ingreso Alto,70164.6832903776,52.0,70.33,URY,Ingreso Alto,77240.8308774597,51.0,67.7,0.44
173,Uzbekistan,160.0,46.48,UZB,Países De Ingreso Mediano Bajo,67293.6397983996,156.0,46.93,UZB,Países De Ingreso Mediano Bajo,66443.2654183086,157.0,49.26,UZB,Países De Ingreso Mediano Bajo,77340.0600030347,133.0,46.35,UZB,Países De Ingreso Mediano Bajo,90095.9265674359,137.0,45.73,UZB,Países De Ingreso Mediano Bajo,101591.769702343,148.0,37.27,0.47
174,Venezuela,148.0,50.9,,,,147.0,54.34,,,,148.0,52.4,,,,159.0,37.78,,,,159.0,36.99,,,,156.0,33.06,
175,Vietnam,176.0,25.07,,,,175.0,25.29,,,,175.0,21.54,,,,174.0,26.11,,,,178.0,24.58,,,,174.0,22.31,
176,Yemen,168.0,38.34,YEM,Países De Ingreso Bajo,0.0,167.0,41.75,YEM,Países De Ingreso Bajo,0.0,169.0,37.65,YEM,Países De Ingreso Bajo,0.0,169.0,29.14,YEM,Países De Ingreso Bajo,0.0,168.0,32.78,YEM,Países De Ingreso Bajo,0.0,154.0,33.67,0.0
177,Zambia,119.0,63.62,ZMB,Países De Ingreso Mediano Bajo,23308.6677812258,120.0,63.0,ZMB,Países De Ingreso Mediano Bajo,18137.764930651,115.0,61.79,ZMB,Países De Ingreso Mediano Bajo,22096.4169320089,109.0,55.4,ZMB,Países De Ingreso Mediano Bajo,29163.7821404858,87.0,59.41,ZMB,Países De Ingreso Mediano Bajo,27577.956471244,95.0,55.38,0.16
178,Zimbabwe,127.0,57.77,ZWE,Países De Ingreso Mediano Bajo,25717.409842447894,126.0,59.05,ZWE,Países De Ingreso Mediano Bajo,26867.9364446826,130.0,56.88,ZWE,Países De Ingreso Mediano Bajo,27240.515108804902,137.0,44.94,ZWE,Países De Ingreso Mediano Bajo,32789.7517363323,126.0,48.17,ZWE,Países De Ingreso Mediano Bajo,35231.3678858554,116.0,50.31,0.18
